title,price,rating,reviews,availability
Xbox Series X,,4.8 out of 5 stars,"21,871 ratings",In Stock
Xbox Series X & $100 Gift Card [Digital Code],,,,Not Available
Star Wars Jedi: Survivor - Xbox Series X,$69.75,,61 ratings,Not Available
Star Wars Jedi: Survivor Standard - Xbox Series X|S [Digital Code],$69.99,,15 ratings,Available now
Hogwarts Legacy Deluxe Edition - Xbox Series X,,,242 ratings,Not Available
Diablo IV - Xbox Series X,$69.99,,,"This item will be released on June 6, 2023.    Pre-order now."
"Xbox Wireless Headset – Xbox Series X|S, Xbox One, and Windows 10 Devices",,,"7,217 ratings",Only 1 left in stock - order soon
Hyperkin Xenon Wired Controller (White) For Xbox Series X|S/Xbox One/Windows 10|11,$49.99,,,"This item will be released on June 6, 2023.    Pre-order now."
"Xbox Wireless Controller – Stellar Shift Special Edition Series X|S, One, and Windows Devices",,,260 ratings,Only 5 left in stock - order soon
Seagate Storage Expansion Card 2TB Solid State Drive - NVMe SSD for Xbox Series X|S (STJR2000400),$279.99,,"65,365 ratings",Usually ships within 1 to 2 months
"Microsoft Surface Pro X – 13"" Touch-Screen – SQ1 - 8GB Memory - 128GB Solid State Drive – Wifi, 4G Lte – Matte Black",,,350 ratings,Not Available
"Xbox Series S - Bonus Content Featuring Fortnite, Rocket League, Fall Guys",$297.00,,967 ratings,Not Available
PXN V9 PC Steering Wheel 270/900°gaming Steering Wheel Dual-Motor Feedback Driving with Pedals and Shifter game racing wheel for Xbox one/Xbox Series X/S PS3/PS4/N-Switch/PC,$179.99,,371 ratings,In Stock
"Case Club Gaming Station to Fit Xbox Series X or S. Comes with Built-in 24"" 1080p Monitor, Cooling Fans, & Speakers. Fits Console, Controllers, & Games, which are NOT Included",,,72 ratings,Not Available
Xbox Series S,$299.99,4.8 out of 5 stars,"27,708 ratings",Not Available
Mortal Kombat 1 Premium Edition - Xbox Series X,$109.99,,,"This item will be released on September 14, 2023.    Pre-order now."
"shmilys Wireless Controller Compatible with Xbox One, Xbox One X/S, Xbox Series X/S with 3.5mm Headphone Jack ，Upgraded Joystick Gamepad - Carbon Black",,,,Not Available
"RGB Cooling Stand & Charging Station for Xbox Series S with RGB Light, MENEEA Cooler Fan for Console & Fast Charger for Controller, Accessories with 2 * 1400mAh Rechargeable Batteries, Headphone Hook",,,11 ratings,Not Available
"HyperX Cloud II - Gaming Headset, 7.1 Surround Sound, Memory Foam Ear Pads, Durable Aluminum Frame, Detachable Microphone, Works with PC, PS5, PS4, Xbox Series X|S, Xbox One – Red",,,"32,170 ratings",In Stock
"IFYOO GTP01 Wired USB Gaming Touchpad with Keyboard and Mouse Funcitons, Trackpad Game Controller Compatible with Xbox Series X|S, Xbox One, PS5, PS4, PC Steam Windows 11 10, Mac OS - Black&Yellow",$49.99,,34 ratings,In Stock
"Dust Filter for Xbox Series X Console, Top Case Vent Dust Proof Filter Cover, Include 6pcs Thump Grip Caps 3 Packs",$3.99,,154 ratings,In Stock
"Cooling Stand for Xbox Series X/S with Charging Dock, MENEEA Charger Station for Controller with RGB LED Light, 3 USB Ports, Cooler Fan Accessories Kit for Xbox Series X/S Console(Battery Not Included",$35.99,,26 ratings,In Stock
